Jannik Sinner (14165339),Ons Jabeur (14165338),Cori Gauff (14165336),Alison Riske (14165332),Marin Cilic (14165330),Dusan Lajovic (14165327),50000,0.0798257,0
Fiona Ferro (14165353),Gregoire Barrere (14165348),John Millman (14165341),Stefanos Tsitsipas (14165320),Madison Keys (14165318),Serena Williams (14165315),50000,0.0433575,0
Nao Hibino (14165354),Gregoire Barrere (14165348),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),50000,0.0401234,0
Cristian Garin (14165355),Gregoire Barrere (14165348),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),49800,0.0475308,0
Cristian Garin (14165355),Gregoire Barrere (14165348),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Novak Djokovic (14165314),50000,0.0475308,0
Tennys Sandgren (14165356),Gregoire Barrere (14165348),John Millman (14165341),Roberto Bautista-Agut (14165319),Roger Federer (14165316),Serena Williams (14165315),50000,0.0402468,0
Barbora Krejcikova (14165357),Gregoire Barrere (14165348),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49900,0.0409609,0
Alejandro Davidovich Fokina (14165358),Gregoire Barrere (14165348),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49700,0.0349874,0
Alejandro Davidovich Fokina (14165358),Gregoire Barrere (14165348),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),49900,0.0349874,0
Philipp Kohlschreiber (14165359),Gregoire Barrere (14165348),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0285438,0
Michael Mmoh (14165360),Gregoire Barrere (14165348),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0263481,0
Polona Hercog (14165361),Gregoire Barrere (14165348),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0244661,0
Arantxa Rus (14165362),Gregoire Barrere (14165348),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0176251,0
Filip Krajinovic (14165363),Gregoire Barrere (14165348),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49300,0.0107039,0
Tamara Zidansek (14165364),Gregoire Barrere (14165348),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),48600,0.00799712,0
Tatsuma Ito (14165365),Gregoire Barrere (14165348),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),48200,0.00799712,0
Tommy Paul (14165350),Benoit Paire (14165349),John Millman (14165341),Stefanos Tsitsipas (14165320),Madison Keys (14165318),Roger Federer (14165316),50000,0.0442877,0
Greet Minnen (14165351),Benoit Paire (14165349),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Roger Federer (14165316),50000,0.0458098,0
Marc Polmans (14165352),Benoit Paire (14165349),John Millman (14165341),Stefanos Tsitsipas (14165320),Madison Keys (14165318),Serena Williams (14165315),50000,0.0374386,0
Fiona Ferro (14165353),Benoit Paire (14165349),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),50000,0.0413773,0
Nao Hibino (14165354),Benoit Paire (14165349),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),49900,0.0376157,0
Cristian Garin (14165355),Benoit Paire (14165349),John Millman (14165341),Stefanos Tsitsipas (14165320),Roger Federer (14165316),Serena Williams (14165315),50000,0.0450495,0
Tennys Sandgren (14165356),Benoit Paire (14165349),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),50000,0.0398591,0
Barbora Krejcikova (14165357),Benoit Paire (14165349),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49800,0.0384008,0
Barbora Krejcikova (14165357),Benoit Paire (14165349),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),50000,0.0384008,0
Alejandro Davidovich Fokina (14165358),Benoit Paire (14165349),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0334497,0
Philipp Kohlschreiber (14165359),Benoit Paire (14165349),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0267598,0
Michael Mmoh (14165360),Benoit Paire (14165349),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0247013,0
Polona Hercog (14165361),Benoit Paire (14165349),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.022937,0
Arantxa Rus (14165362),Benoit Paire (14165349),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0165236,0
Filip Krajinovic (14165363),Benoit Paire (14165349),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49200,0.0100349,0
Tamara Zidansek (14165364),Benoit Paire (14165349),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),48500,0.0074973,0
Tatsuma Ito (14165365),Benoit Paire (14165349),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),48100,0.0074973,0
Greet Minnen (14165351),Tommy Paul (14165350),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),50000,0.042712,0
Marc Polmans (14165352),Tommy Paul (14165350),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),49900,0.034844,0
Fiona Ferro (14165353),Tommy Paul (14165350),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),49800,0.0378307,0
Fiona Ferro (14165353),Tommy Paul (14165350),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Novak Djokovic (14165314),50000,0.0378307,0
Nao Hibino (14165354),Tommy Paul (14165350),John Millman (14165341),Stefanos Tsitsipas (14165320),Roger Federer (14165316),Serena Williams (14165315),50000,0.0347692,0
Cristian Garin (14165355),Tommy Paul (14165350),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),50000,0.0442918,0
Tennys Sandgren (14165356),Tommy Paul (14165350),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49800,0.0364426,0
Tennys Sandgren (14165356),Tommy Paul (14165350),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),50000,0.0364426,0
Barbora Krejcikova (14165357),Tommy Paul (14165350),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.035804,0
Alejandro Davidovich Fokina (14165358),Tommy Paul (14165350),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0305826,0
Philipp Kohlschreiber (14165359),Tommy Paul (14165350),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0244661,0
Michael Mmoh (14165360),Tommy Paul (14165350),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0232419,0
Polona Hercog (14165361),Tommy Paul (14165350),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0215818,0
Arantxa Rus (14165362),Tommy Paul (14165350),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0151073,0
Filip Krajinovic (14165363),Tommy Paul (14165350),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49000,0.00917478,0
Tamara Zidansek (14165364),Tommy Paul (14165350),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),48300,0.00685468,0
Tatsuma Ito (14165365),Tommy Paul (14165350),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47900,0.00685468,0
Marc Polmans (14165352),Greet Minnen (14165351),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Serena Williams (14165315),49800,0.035406,0
Marc Polmans (14165352),Greet Minnen (14165351),John Millman (14165341),Roberto Bautista-Agut (14165319),Madison Keys (14165318),Novak Djokovic (14165314),50000,0.035406,0
Fiona Ferro (14165353),Greet Minnen (14165351),John Millman (14165341),Stefanos Tsitsipas (14165320),Roger Federer (14165316),Serena Williams (14165315),50000,0.038863,0
Nao Hibino (14165354),Greet Minnen (14165351),John Millman (14165341),Roberto Bautista-Agut (14165319),Roger Federer (14165316),Serena Williams (14165315),50000,0.0359642,0
Cristian Garin (14165355),Greet Minnen (14165351),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49900,0.0450061,0
Tennys Sandgren (14165356),Greet Minnen (14165351),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49700,0.0370304,0
Tennys Sandgren (14165356),Greet Minnen (14165351),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),49900,0.0370304,0
Barbora Krejcikova (14165357),Greet Minnen (14165351),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0363815,0
Alejandro Davidovich Fokina (14165358),Greet Minnen (14165351),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0310759,0
Philipp Kohlschreiber (14165359),Greet Minnen (14165351),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0255849,0
Michael Mmoh (14165360),Greet Minnen (14165351),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0236168,0
Polona Hercog (14165361),Greet Minnen (14165351),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0219299,0
Arantxa Rus (14165362),Greet Minnen (14165351),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49600,0.0153509,0
Filip Krajinovic (14165363),Greet Minnen (14165351),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48900,0.00932276,0
Tamara Zidansek (14165364),Greet Minnen (14165351),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),48200,0.00696523,0
Tatsuma Ito (14165365),Greet Minnen (14165351),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47800,0.00696523,0
Fiona Ferro (14165353),Marc Polmans (14165352),John Millman (14165341),Roberto Bautista-Agut (14165319),Roger Federer (14165316),Serena Williams (14165315),50000,0.0322731,0
Nao Hibino (14165354),Marc Polmans (14165352),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),50000,0.0309936,0
Cristian Garin (14165355),Marc Polmans (14165352),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49800,0.0367155,0
Cristian Garin (14165355),Marc Polmans (14165352),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),50000,0.0367155,0
Tennys Sandgren (14165356),Marc Polmans (14165352),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0308067,0
Barbora Krejcikova (14165357),Marc Polmans (14165352),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0296797,0
Alejandro Davidovich Fokina (14165358),Marc Polmans (14165352),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0260898,0
Philipp Kohlschreiber (14165359),Marc Polmans (14165352),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0208719,0
Michael Mmoh (14165360),Marc Polmans (14165352),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0192664,0
Polona Hercog (14165361),Marc Polmans (14165352),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0178902,0
Arantxa Rus (14165362),Marc Polmans (14165352),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49500,0.0125231,0
Filip Krajinovic (14165363),Marc Polmans (14165352),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48800,0.00760541,0
Tamara Zidansek (14165364),Marc Polmans (14165352),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),48100,0.00568217,0
Tatsuma Ito (14165365),Marc Polmans (14165352),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47700,0.00568217,0
Nao Hibino (14165354),Fiona Ferro (14165353),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49900,0.0336502,0
Cristian Garin (14165355),Fiona Ferro (14165353),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),49700,0.0398626,0
Cristian Garin (14165355),Fiona Ferro (14165353),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),49900,0.0398626,0
Tennys Sandgren (14165356),Fiona Ferro (14165353),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0334473,0
Barbora Krejcikova (14165357),Fiona Ferro (14165353),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0322236,0
Alejandro Davidovich Fokina (14165358),Fiona Ferro (14165353),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49900,0.0283261,0
Philipp Kohlschreiber (14165359),Fiona Ferro (14165353),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0226609,0
Michael Mmoh (14165360),Fiona Ferro (14165353),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0209178,0
Polona Hercog (14165361),Fiona Ferro (14165353),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49600,0.0194236,0
Arantxa Rus (14165362),Fiona Ferro (14165353),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49400,0.0135965,0
Filip Krajinovic (14165363),Fiona Ferro (14165353),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48700,0.0082573,0
Tamara Zidansek (14165364),Fiona Ferro (14165353),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),48000,0.00616921,0
Tatsuma Ito (14165365),Fiona Ferro (14165353),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47600,0.00616921,0
Cristian Garin (14165355),Nao Hibino (14165354),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0369558,0
Tennys Sandgren (14165356),Nao Hibino (14165354),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0304066,0
Barbora Krejcikova (14165357),Nao Hibino (14165354),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0301475,0
Alejandro Davidovich Fokina (14165358),Nao Hibino (14165354),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.025751,0
Philipp Kohlschreiber (14165359),Nao Hibino (14165354),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49700,0.0206008,0
Michael Mmoh (14165360),Nao Hibino (14165354),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49600,0.0190161,0
Polona Hercog (14165361),Nao Hibino (14165354),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49500,0.0176578,0
Arantxa Rus (14165362),Nao Hibino (14165354),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49300,0.0123605,0
Filip Krajinovic (14165363),Nao Hibino (14165354),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48600,0.00750664,0
Tamara Zidansek (14165364),Nao Hibino (14165354),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47900,0.00560837,0
Tatsuma Ito (14165365),Nao Hibino (14165354),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47500,0.00560837,0
Tennys Sandgren (14165356),Cristian Garin (14165355),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),50000,0.0370694,0
Barbora Krejcikova (14165357),Cristian Garin (14165355),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49800,0.0357132,0
Alejandro Davidovich Fokina (14165358),Cristian Garin (14165355),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49600,0.0305051,0
Philipp Kohlschreiber (14165359),Cristian Garin (14165355),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49500,0.024404,0
Michael Mmoh (14165360),Cristian Garin (14165355),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49400,0.0225268,0
Polona Hercog (14165361),Cristian Garin (14165355),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49300,0.0209178,0
Arantxa Rus (14165362),Cristian Garin (14165355),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49100,0.0146424,0
Filip Krajinovic (14165363),Cristian Garin (14165355),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48400,0.00889248,0
Tamara Zidansek (14165364),Cristian Garin (14165355),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47700,0.00664376,0
Tatsuma Ito (14165365),Cristian Garin (14165355),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47300,0.00664376,0
Barbora Krejcikova (14165357),Tennys Sandgren (14165356),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49600,0.0293843,0
Alejandro Davidovich Fokina (14165358),Tennys Sandgren (14165356),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49400,0.0250991,0
Philipp Kohlschreiber (14165359),Tennys Sandgren (14165356),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49300,0.0200793,0
Michael Mmoh (14165360),Tennys Sandgren (14165356),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49200,0.0185347,0
Polona Hercog (14165361),Tennys Sandgren (14165356),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49100,0.0172108,0
Arantxa Rus (14165362),Tennys Sandgren (14165356),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48900,0.0120476,0
Filip Krajinovic (14165363),Tennys Sandgren (14165356),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48200,0.0073166,0
Tamara Zidansek (14165364),Tennys Sandgren (14165356),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47500,0.00546639,0
Tatsuma Ito (14165365),Tennys Sandgren (14165356),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),47100,0.00546639,0
Alejandro Davidovich Fokina (14165358),Barbora Krejcikova (14165357),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49200,0.0241808,0
Philipp Kohlschreiber (14165359),Barbora Krejcikova (14165357),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49100,0.0193447,0
Michael Mmoh (14165360),Barbora Krejcikova (14165357),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49000,0.0178566,0
Polona Hercog (14165361),Barbora Krejcikova (14165357),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48900,0.0165811,0
Arantxa Rus (14165362),Barbora Krejcikova (14165357),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48700,0.0116068,0
Filip Krajinovic (14165363),Barbora Krejcikova (14165357),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),48000,0.00704892,0
Tamara Zidansek (14165364),Barbora Krejcikova (14165357),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47300,0.0052664,0
Tatsuma Ito (14165365),Barbora Krejcikova (14165357),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),46900,0.0052664,0
Philipp Kohlschreiber (14165359),Alejandro Davidovich Fokina (14165358),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48900,0.0165236,0
Michael Mmoh (14165360),Alejandro Davidovich Fokina (14165358),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48800,0.0152525,0
Polona Hercog (14165361),Alejandro Davidovich Fokina (14165358),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48700,0.0141631,0
Arantxa Rus (14165362),Alejandro Davidovich Fokina (14165358),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48500,0.00991414,0
Filip Krajinovic (14165363),Alejandro Davidovich Fokina (14165358),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),47800,0.00602095,0
Tamara Zidansek (14165364),Alejandro Davidovich Fokina (14165358),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47100,0.00449838,0
Tatsuma Ito (14165365),Alejandro Davidovich Fokina (14165358),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),46700,0.00449838,0
Michael Mmoh (14165360),Philipp Kohlschreiber (14165359),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48700,0.012202,0
Polona Hercog (14165361),Philipp Kohlschreiber (14165359),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48600,0.0113304,0
Arantxa Rus (14165362),Philipp Kohlschreiber (14165359),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48400,0.00793131,0
Filip Krajinovic (14165363),Philipp Kohlschreiber (14165359),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),47700,0.00481676,0
Tamara Zidansek (14165364),Philipp Kohlschreiber (14165359),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),47000,0.0035987,0
Tatsuma Ito (14165365),Philipp Kohlschreiber (14165359),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),46600,0.0035987,0
Polona Hercog (14165361),Michael Mmoh (14165360),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48500,0.0104589,0
Arantxa Rus (14165362),Michael Mmoh (14165360),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48300,0.00732121,0
Filip Krajinovic (14165363),Michael Mmoh (14165360),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),47600,0.00444624,0
Tamara Zidansek (14165364),Michael Mmoh (14165360),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),46900,0.00332188,0
Tatsuma Ito (14165365),Michael Mmoh (14165360),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),46500,0.00332188,0
Arantxa Rus (14165362),Polona Hercog (14165361),John Millman (14165341),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48200,0.00679827,0
Filip Krajinovic (14165363),Polona Hercog (14165361),John Millman (14165341),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),47500,0.00412865,0
Tamara Zidansek (14165364),Polona Hercog (14165361),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),46800,0.0030846,0
Tatsuma Ito (14165365),Polona Hercog (14165361),John Millman (14165341),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),46400,0.0030846,0
Filip Krajinovic (14165363),Arantxa Rus (14165362),John Millman (14165341),Ashleigh Barty (14165317),Serena Williams (14165315),Novak Djokovic (14165314),47500,0.00276012,0
Tamara Zidansek (14165364),Arantxa Rus (14165362),John Millman (14165341),Ashleigh Barty (14165317),Roger Federer (14165316),Novak Djokovic (14165314),46800,0.00206214,0
Tatsuma Ito (14165365),Arantxa Rus (14165362),John Millman (14165341),Ashleigh Barty (14165317),Roger Federer (14165316),Serena Williams (14165315),46400,0.00206214,0
Tamara Zidansek (14165364),Filip Krajinovic (14165363),John Millman (14165341),Madison Keys (14165318),Ashleigh Barty (14165317),Novak Djokovic (14165314),46100,0.00125236,0
Tatsuma Ito (14165365),Filip Krajinovic (14165363),John Millman (14165341),Madison Keys (14165318),Ashleigh Barty (14165317),Serena Williams (14165315),45700,0.00125236,0
Tatsuma Ito (14165365),Tamara Zidansek (14165364),John Millman (14165341),Madison Keys (14165318),Ashleigh Barty (14165317),Roger Federer (14165316),45000,0.000935663,0
Jordan Thompson (14165344),Yoshihito Nishioka (14165343),Caroline Garcia (14165342),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49900,0.0636898,0
Sorana Cirstea (14165345),Yoshihito Nishioka (14165343),Caroline Garcia (14165342),Dusan Lajovic (14165327),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49800,0.0623629,0
Sorana Cirstea (14165345),Yoshihito Nishioka (14165343),Caroline Garcia (14165342),Maria Sakkari (14165325),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0623629,0
Caroline Wozniacki (14165346),Yoshihito Nishioka (14165343),Caroline Garcia (14165342),Dusan Lajovic (14165327),Stefanos Tsitsipas (14165320),Roger Federer (14165316),50000,0.065789,0
Lin Zhu (14165347),Yoshihito Nishioka (14165343),Caroline Garcia (14165342),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),50000,0.0638104,0
Gregoire Barrere (14165348),Yoshihito Nishioka (14165343),Caroline Garcia (14165342),Dusan Lajovic (14165327),Madison Keys (14165318),Roger Federer (14165316),49900,0.0602654,0
Benoit Paire (14165349),Yoshihito Nishioka (14165343),Caroline Garcia (14165342),Dusan Lajovic (14165327),Madison Keys (14165318),Serena Williams (14165315),50000,0.0576167,0
Tommy Paul (14165350),Yoshihito Nishioka (14165343),Caroline Garcia (14165342),Stefanos Tsitsipas (14165320),Roberto Bautista-Agut (14165319),Madison Keys (14165318),50000,0.0528005,0
Greet Minnen (14165351),Yoshihito Nishioka (14165343),Caroline Garcia (14165342),Stefanos Tsitsipas (14165320),Roberto Bautista-Agut (14165319),Madison Keys (14165318),49900,0.0536521,0
