"entry_id","contest_id","contest_name","C","C","W","W","W","W","D","D","G","","Instructions"
"1863636897","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"1863637848","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"1863637853","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"1863637857","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","4) You can not use this form to create new entries"
"1863637858","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193",""
"1863637862","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","","","","40144-8230:Mark Giordano","40144-8230","D","Mark","Mark Giordano","Giordano","12.558823529411764","17","5700","ARI@CGY","CGY","ARI","","","","",""
"","","","","","","","","","","","","","40144-70901:Pierre-Luc Dubois","40144-70901","C","Pierre-Luc","Pierre-Luc Dubois","Dubois","12.907142639160156","14","5700","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-70905:Clayton Keller","40144-70905","W","Clayton","Clayton Keller","Keller","9.87857164655413","14","5700","ARI@CGY","ARI","CGY","","","","",""
"","","","","","","","","","","","","","40144-8467:Shea Weber","40144-8467","D","Shea","Shea Weber","Weber","11.957142421177455","14","5600","BOS@MON","MON","BOS","","","","",""
"","","","","","","","","","","","","","40144-8495:Josh Bailey","40144-8495","W","Josh","Josh Bailey","Bailey","11.253846388596754","13","5600","OTT@NYI","NYI","OTT","","","","",""
"","","","","","","","","","","","","","40144-21122:Jaden Schwartz","40144-21122","W","Jaden","Jaden Schwartz","Schwartz","10.32000020345052","15","5600","STL@VAN","STL","VAN","","","","",""
"","","","","","","","","","","","","","40144-21648:Torey Krug","40144-21648","D","Torey","Torey Krug","Krug","12.207142421177455","14","5600","BOS@MON","BOS","MON","","","","",""
"","","","","","","","","","","","","","40144-8709:Alexander Edler","40144-8709","D","Alexander","Alexander Edler","Edler","15.135713849748884","14","5500","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-9025:Jordan Eberle","40144-9025","W","Jordan","Jordan Eberle","Eberle","8.84000015258789","5","5500","OTT@NYI","NYI","OTT","IR","Lower body","","",""
"","","","","","","","","","","","","","40144-15269:Rickard Rakell","40144-15269","W","Rickard","Rickard Rakell","Rakell","10.425000190734863","16","5500","MIN@ANH","ANH","MIN","","","","",""
"","","","","","","","","","","","","","40144-21897:Brock Nelson","40144-21897","C","Brock","Brock Nelson","Nelson","13.49230722280649","13","5500","OTT@NYI","NYI","OTT","","","","",""
"","","","","","","","","","","","","","40144-13982:Gustav Nyquist","40144-13982","W","Gustav","Gustav Nyquist","Nyquist","9.257143293108259","14","5500","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-39269:Erik Haula","40144-39269","C","Erik","Erik Haula","Haula","12.864286150251116","14","5400","CAR@PHI","CAR","PHI","O","Undisclosed","","",""
"","","","","","","","","","","","","","40144-12843:Adam Henrique","40144-12843","C","Adam","Adam Henrique","Henrique","11","16","5400","MIN@ANH","ANH","MIN","","","","",""
"","","","","","","","","","","","","","40144-8797:James van Riemsdyk","40144-8797","W","James","James van Riemsdyk","van Riemsdyk","11.176923311673677","13","5400","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-21689:Reilly Smith","40144-21689","W","Reilly","Reilly Smith","Smith","13.046666463216146","15","5400","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-58990:Kevin Hayes","40144-58990","C","Kevin","Kevin Hayes","Hayes","10.776923546424278","13","5400","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-59276:William Nylander","40144-59276","W","William","William Nylander","Nylander","9.753333536783854","15","5400","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-12253:Mats Zuccarello","40144-12253","W","Mats","Mats Zuccarello","Zuccarello","6.819999694824219","10","5400","MIN@ANH","MIN","ANH","","","","",""
"","","","","","","","","","","","","","40144-68640:Zach Werenski","40144-68640","D","Zach","Zach Werenski","Werenski","10.414285932268415","14","5300","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-66759:Thomas Chabot","40144-66759","D","Thomas","Thomas Chabot","Chabot","13.184614915114183","13","5300","OTT@NYI","OTT","NYI","","","","",""
"","","","","","","","","","","","","","40144-42417:Jonathan Drouin","40144-42417","W","Jonathan","Jonathan Drouin","Drouin","13.271428789411273","14","5300","BOS@MON","MON","BOS","","","","",""
"","","","","","","","","","","","","","40144-12244:Oliver Ekman-Larsson","40144-12244","D","Oliver","Oliver Ekman-Larsson","Ekman-Larsson","9.864286150251116","14","5300","ARI@CGY","ARI","CGY","","","","",""
"","","","","","","","","","","","","","40144-8478:Zach Parise","40144-8478","W","Zach","Zach Parise","Parise","6.9500002179827005","14","5200","MIN@ANH","MIN","ANH","","","","",""
"","","","","","","","","","","","","","40144-8555:Jeff Carter","40144-8555","W","Jeff","Jeff Carter","Carter","11.314285278320312","14","5200","LA@TOR","LA","TOR","","","","",""
"","","","","","","","","","","","","","40144-12728:Nino Niederreiter","40144-12728","W","Nino","Nino Niederreiter","Niederreiter","7.614285605294364","14","5200","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-12812:Jared Spurgeon","40144-12812","D","Jared","Jared Spurgeon","Spurgeon","10.12857164655413","14","5200","MIN@ANH","MIN","ANH","","","","",""
"","","","","","","","","","","","","","40144-62869:Andreas Johnsson","40144-62869","W","Andreas","Andreas Johnsson","Johnsson","10.446666463216145","15","5200","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-58891:Kevin Labanc","40144-58891","W","Kevin","Kevin Labanc","Labanc","10.466666666666667","15","5200","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-8176:David Krejci","40144-8176","C","David","David Krejci","Krejci","9.362500190734863","8","5200","BOS@MON","BOS","MON","","","","",""
"","","","","","","","","","","","","","40144-8274:Paul Stastny","40144-8274","C","Paul","Paul Stastny","Stastny","9.853333536783854","15","5100","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-9107:P.K. Subban","40144-9107","D","P.K.","P.K. Subban","Subban","9.466666539510092","12","5100","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-15277:Phillip Danault","40144-15277","C","Phillip","Phillip Danault","Danault","9.542857578822545","14","5100","BOS@MON","MON","BOS","","","","",""
"","","","","","","","","","","","","","40144-66511:Ivan Provorov","40144-66511","D","Ivan","Ivan Provorov","Provorov","12.23076923076923","13","5100","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-66680:Jaccob Slavin","40144-66680","D","Jaccob","Jaccob Slavin","Slavin","12.799999782017299","14","5100","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-73889:Nick Schmaltz","40144-73889","C","Nick","Nick Schmaltz","Schmaltz","11.764285496303014","14","5000","ARI@CGY","ARI","CGY","","","","",""
"","","","","","","","","","","","","","40144-12624:Tyler Toffoli","40144-12624","W","Tyler","Tyler Toffoli","Toffoli","9.046153728778545","13","5000","LA@TOR","LA","TOR","","","","",""
"","","","","","","","","","","","","","40144-8741:Nazem Kadri","40144-8741","C","Nazem","Nazem Kadri","Kadri","10.485714503696986","14","5000","COL@DAL","COL","DAL","","","","",""
"","","","","","","","","","","","","","40144-111493:Jack Hughes","40144-111493","C","Jack","Jack Hughes","Hughes","9.566666920979818","12","5000","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-39870:Tanner Pearson","40144-39870","W","Tanner","Tanner Pearson","Pearson","10.207142421177455","14","5000","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-66690:Timo Meier","40144-66690","W","Timo","Timo Meier","Meier","8.353333536783854","15","5000","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-42773:Oliver Bjorkstrand","40144-42773","W","Oliver","Oliver Bjorkstrand","Bjorkstrand","8.549999782017299","14","5000","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-14457:John Klingberg","40144-14457","D","John","John Klingberg","Klingberg","7.081250190734863","16","4900","COL@DAL","DAL","COL","","","","",""
"","","","","","","","","","","","","","40144-97147:Brady Tkachuk","40144-97147","W","Brady","Brady Tkachuk","Tkachuk","13.046154315655048","13","4900","OTT@NYI","OTT","NYI","","","","",""
"","","","","","","","","","","","","","40144-21686:Jason Zucker","40144-21686","W","Jason","Jason Zucker","Zucker","9.400000435965401","14","4900","MIN@ANH","MIN","ANH","","","","",""
"","","","","","","","","","","","","","40144-12448:Derek Stepan","40144-12448","C","Derek","Derek Stepan","Stepan","7.5","14","4800","ARI@CGY","ARI","CGY","","","","",""
"","","","","","","","","","","","","","40144-12460:Cam Fowler","40144-12460","D","Cam","Cam Fowler","Fowler","9.412500381469727","16","4800","MIN@ANH","ANH","MIN","","","","",""
"","","","","","","","","","","","","","40144-8539:Nick Foligno","40144-8539","W","Nick","Nick Foligno","Foligno","7.664285932268415","14","4800","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-8596:Jordan Staal","40144-8596","C","Jordan","Jordan Staal","Staal","6.778571537562779","14","4800","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-9189:Mikael Backlund","40144-9189","C","Mikael","Mikael Backlund","Backlund","6.117647058823529","17","4800","ARI@CGY","CGY","ARI","","","","",""
"","","","","","","","","","","","","","40144-54521:Shayne Gostisbehere","40144-54521","D","Shayne","Shayne Gostisbehere","Gostisbehere","7.523077157827524","13","4800","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-58686:Kasperi Kapanen","40144-58686","W","Kasperi","Kasperi Kapanen","Kapanen","9.259999593098959","15","4800","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-8162:Bryan Little","40144-8162","C","Bryan","Bryan Little","Little","11.733333587646484","6","4800","NJ@WPG","WPG","NJ","","","","",""
"","","","","","","","","","","","","","40144-8266:Duncan Keith","40144-8266","D","Duncan","Duncan Keith","Keith","8.776922959547777","13","4700","CHI@SJ","CHI","SJ","","","","",""
"","","","","","","","","","","","","","40144-43093:Shea Theodore","40144-43093","D","Shea","Shea Theodore","Theodore","9.146666463216146","15","4700","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-8294:Derick Brassard","40144-8294","W","Derick","Derick Brassard","Brassard","9.66153834416316","13","4700","OTT@NYI","NYI","OTT","","","","",""
"","","","","","","","","","","","","","40144-8414:Mikko Koivu","40144-8414","C","Mikko","Mikko Koivu","Koivu","7.785714285714286","14","4700","MIN@ANH","MIN","ANH","","","","",""
"","","","","","","","","","","","","","40144-70279:J.T. Compher","40144-70279","W","J.T.","J.T. Compher","Compher","7.827272588556463","11","4700","COL@DAL","COL","DAL","","","","",""
"","","","","","","","","","","","","","40144-11204:Jake Muzzin","40144-11204","D","Jake","Jake Muzzin","Muzzin","11.285714285714286","14","4700","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-66601:Jake DeBrusk","40144-66601","W","Jake","Jake DeBrusk","DeBrusk","8.549999782017299","14","4700","BOS@MON","BOS","MON","","","","",""
"","","","","","","","","","","","","","40144-80991:Nico Hischier","40144-80991","C","Nico","Nico Hischier","Hischier","9.09000015258789","10","4700","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-103523:Cale Makar","40144-103523","D","Cale","Cale Makar","Makar","11.278570992606026","14","4700","COL@DAL","COL","DAL","","","","",""
"","","","","","","","","","","","","","40144-54503:Ryan Dzingel","40144-54503","W","Ryan","Ryan Dzingel","Dzingel","9.728571210588727","14","4700","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-61246:Colton Parayko","40144-61246","D","Colton","Colton Parayko","Parayko","9.453333536783854","15","4700","STL@VAN","STL","VAN","","","","",""
"","","","","","","","","","","","","","40144-42833:Andre Burakovsky","40144-42833","W","Andre","Andre Burakovsky","Burakovsky","10.471429007393974","14","4700","COL@DAL","COL","DAL","","","","",""
"","","","","","","","","","","","","","40144-8466:Ryan Suter","40144-8466","D","Ryan","Ryan Suter","Suter","7.992857251848493","14","4600","MIN@ANH","MIN","ANH","","","","",""
"","","","","","","","","","","","","","40144-8611:Alex Goligoski","40144-8611","D","Alex","Alex Goligoski","Goligoski","10.942856924874443","14","4600","ARI@CGY","ARI","CGY","","","","",""
"","","","","","","","","","","","","","40144-65969:Dylan Strome","40144-65969","C","Dylan","Dylan Strome","Strome","8.923076923076923","13","4600","CHI@SJ","CHI","SJ","","","","",""
"","","","","","","","","","","","","","40144-80475:Oskar Lindblom","40144-80475","W","Oskar","Oskar Lindblom","Lindblom","12.853846623347355","13","4600","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-15280:Brandon Saad","40144-15280","W","Brandon","Brandon Saad","Saad","8.953846271221455","13","4600","CHI@SJ","CHI","SJ","","","","",""
"","","","","","","","","","","","","","40144-66686:Anthony Beauvillier","40144-66686","W","Anthony","Anthony Beauvillier","Beauvillier","9.300000117375301","13","4600","OTT@NYI","NYI","OTT","","","","",""
"","","","","","","","","","","","","","40144-8158:Ilya Kovalchuk","40144-8158","W","Ilya","Ilya Kovalchuk","Kovalchuk","9.650000435965401","14","4600","LA@TOR","LA","TOR","","","","",""
"","","","","","","","","","","","","","40144-42981:Josh Morrissey","40144-42981","D","Josh","Josh Morrissey","Morrissey","11.615384615384615","13","4600","NJ@WPG","WPG","NJ","","","","",""
"","","","","","","","","","","","","","40144-79898:Colin White","40144-79898","C","Colin","Colin White","White","5.699999809265137","8","4500","OTT@NYI","OTT","NYI","IR","Hip","","",""
"","","","","","","","","","","","","","40144-82004:Cody Glass","40144-82004","W","Cody","Cody Glass","Glass","7.406666564941406","15","4500","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-15251:Boone Jenner","40144-15251","C","Boone","Boone Jenner","Jenner","7.828571319580078","14","4500","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-15255:Josh Leivo","40144-15255","W","Josh","Josh Leivo","Leivo","8.37857164655413","14","4500","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-15313:Vladislav Namestnikov","40144-15313","W","Vladislav","Vladislav Namestnikov","Namestnikov","12.23076923076923","13","4500","OTT@NYI","OTT","NYI","","","","",""
"","","","","","","","","","","","","","40144-13981:Tyson Barrie","40144-13981","D","Tyson","Tyson Barrie","Barrie","8.353333536783854","15","4500","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-14178:Justin Faulk","40144-14178","D","Justin","Justin Faulk","Faulk","6.8600001017252605","15","4500","STL@VAN","STL","VAN","","","","",""
"","","","","","","","","","","","","","40144-8237:Brandon Sutter","40144-8237","C","Brandon","Brandon Sutter","Sutter","10.799999782017299","14","4400","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-80005:Neal Pionk","40144-80005","D","Neal","Neal Pionk","Pionk","9.986666870117187","15","4400","NJ@WPG","WPG","NJ","","","","",""
"","","","","","","","","","","","","","40144-12609:Zach Hyman","40144-12609","W","Zach","Zach Hyman","Hyman","9.954929405534772","71","4400","LA@TOR","TOR","LA","O","Knee","","",""
"","","","","","","","","","","","","","40144-39243:Nate Schmidt","40144-39243","D","Nate","Nate Schmidt","Schmidt","13.066666920979818","3","4400","VGK@CBJ","VGK","CBJ","","","","",""
"","","","","","","","","","","","","","40144-70168:Alex Tuch","40144-70168","W","Alex","Alex Tuch","Tuch","8.399999618530273","2","4400","VGK@CBJ","VGK","CBJ","O","Upper body","","",""
"","","","","","","","","","","","","","40144-70199:Devon Toews","40144-70199","D","Devon","Devon Toews","Toews","10.169230534480167","13","4400","OTT@NYI","NYI","OTT","","","","",""
"","","","","","","","","","","","","","40144-8972:Tyler Bozak","40144-8972","C","Tyler","Tyler Bozak","Bozak","6.079999796549479","15","4400","STL@VAN","STL","VAN","","","","",""
"","","","","","","","","","","","","","40144-101277:Quinn Hughes","40144-101277","D","Quinn","Quinn Hughes","Hughes","9.23076923076923","13","4400","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-70928:Sam Steel","40144-70928","C","Sam","Sam Steel","Steel","5.724999745686849","12","4400","MIN@ANH","ANH","MIN","","","","",""
"","","","","","","","","","","","","","40144-104140:Ilya Mikheyev","40144-104140","W","Ilya","Ilya Mikheyev","Mikheyev","11.52000020345052","15","4400","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-42983:Joel Armia","40144-42983","W","Joel","Joel Armia","Armia","12.691666920979818","12","4400","BOS@MON","MON","BOS","","","","",""
"","","","","","","","","","","","","","40144-14474:Sami Vatanen","40144-14474","D","Sami","Sami Vatanen","Vatanen","11.058333079020182","12","4300","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-82174:Miro Heiskanen","40144-82174","D","Miro","Miro Heiskanen","Heiskanen","11.5","16","4300","COL@DAL","DAL","COL","","","","",""
"","","","","","","","","","","","","","40144-8619:Patrick Marleau","40144-8619","W","Patrick","Patrick Marleau","Marleau","8.627272865988992","11","4300","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-70128:Danton Heinen","40144-70128","W","Danton","Danton Heinen","Heinen","7.100000108991351","14","4300","BOS@MON","BOS","MON","","","","",""
"","","","","","","","","","","","","","40144-39464:Hampus Lindholm","40144-39464","D","Hampus","Hampus Lindholm","Lindholm","9.807143075125557","14","4300","MIN@ANH","ANH","MIN","","","","",""
"","","","","","","","","","","","","","40144-16969:Charlie Coyle","40144-16969","C","Charlie","Charlie Coyle","Coyle","7.085714067731585","14","4300","BOS@MON","BOS","MON","","","","",""
"","","","","","","","","","","","","","40144-11170:Nick Leddy","40144-11170","D","Nick","Nick Leddy","Leddy","9.5","11","4300","OTT@NYI","NYI","OTT","O","Lower body","","",""
"","","","","","","","","","","","","","40144-11201:Jeff Petry","40144-11201","D","Jeff","Jeff Petry","Petry","11.685714721679688","14","4300","BOS@MON","MON","BOS","","","","",""
"","","","","","","","","","","","","","40144-70908:Tyson Jost","40144-70908","W","Tyson","Tyson Jost","Jost","7.428571428571429","14","4300","COL@DAL","COL","DAL","","","","",""
"","","","","","","","","","","","","","40144-70912:Charlie McAvoy","40144-70912","D","Charlie","Charlie McAvoy","McAvoy","6.435714176722935","14","4300","BOS@MON","BOS","MON","","","","",""
"","","","","","","","","","","","","","40144-62783:Joonas Donskoi","40144-62783","W","Joonas","Joonas Donskoi","Donskoi","9.271428789411273","14","4300","COL@DAL","COL","DAL","","","","",""
"","","","","","","","","","","","","","40144-43022:Connor Brown","40144-43022","W","Connor","Connor Brown","Brown","12.346153846153847","13","4200","OTT@NYI","OTT","NYI","","","","",""
"","","","","","","","","","","","","","40144-39235:Chris Tierney","40144-39235","C","Chris","Chris Tierney","Tierney","8.746153611403246","13","4200","OTT@NYI","OTT","NYI","","","","",""
"","","","","","","","","","","","","","40144-8516:Artem Anisimov","40144-8516","C","Artem","Artem Anisimov","Anisimov","6.880000305175781","5","4200","OTT@NYI","OTT","NYI","","","","",""
"","","","","","","","","","","","","","40144-12952:Jake Gardiner","40144-12952","D","Jake","Jake Gardiner","Gardiner","6.607142857142857","14","4200","CAR@PHI","CAR","PHI","","","","",""
"","","","","","","","","","","","","","40144-9036:Travis Hamonic","40144-9036","D","Travis","Travis Hamonic","Hamonic","6.8705884148092835","17","4200","ARI@CGY","CGY","ARI","","","","",""
"","","","","","","","","","","","","","40144-97116:Jesperi Kotkaniemi","40144-97116","C","Jesperi","Jesperi Kotkaniemi","Kotkaniemi","5.775000254313151","12","4200","BOS@MON","MON","BOS","IR","Groin","","",""
"","","","","","","","","","","","","","40144-15272:Micheal Ferland","40144-15272","W","Micheal","Micheal Ferland","Ferland","5.533333460489909","12","4200","STL@VAN","VAN","STL","IR","Concussion","","",""
"","","","","","","","","","","","","","40144-62429:Adrian Kempe","40144-62429","C","Adrian","Adrian Kempe","Kempe","6.378571646554129","14","4200","LA@TOR","LA","TOR","","","","",""
"","","","","","","","","","","","","","40144-37880:Scott Laughton","40144-37880","C","Scott","Scott Laughton","Laughton","6.222222222222222","9","4200","CAR@PHI","PHI","CAR","IR","Finger","","",""
"","","","","","","","","","","","","","40144-62492:Erik Gustafsson","40144-62492","D","Erik","Erik Gustafsson","Gustafsson","5.816666920979817","12","4200","CHI@SJ","CHI","SJ","","","","",""
"","","","","","","","","","","","","","40144-66622:Conor Garland","40144-66622","W","Conor","Conor Garland","Garland","12.12857164655413","14","4200","ARI@CGY","ARI","CGY","","","","",""
"","","","","","","","","","","","","","40144-58881:Sammy Blais","40144-58881","W","Sammy","Sammy Blais","Blais","9.046153728778545","13","4200","STL@VAN","STL","VAN","","","","",""
"","","","","","","","","","","","","","40144-59120:Christian Dvorak","40144-59120","C","Christian","Christian Dvorak","Dvorak","9.157142639160156","14","4200","ARI@CGY","ARI","CGY","","","","",""
"","","","","","","","","","","","","","40144-59271:Travis Sanheim","40144-59271","D","Travis","Travis Sanheim","Sanheim","7.4461540809044475","13","4200","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-73909:Samuel Girard","40144-73909","D","Samuel","Samuel Girard","Girard","7.614285605294364","14","4100","COL@DAL","COL","DAL","","","","",""
"","","","","","","","","","","","","","40144-43200:Ryan Pulock","40144-43200","D","Ryan","Ryan Pulock","Pulock","9.353846036470854","13","4100","OTT@NYI","NYI","OTT","","","","",""
"","","","","","","","","","","","","","40144-8404:Wayne Simmonds","40144-8404","W","Wayne","Wayne Simmonds","Simmonds","10.016666412353516","12","4100","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-82179:Alexander Kerfoot","40144-82179","C","Alexander","Alexander Kerfoot","Kerfoot","7.96000010172526","15","4100","LA@TOR","TOR","LA","","","","",""
"","","","","","","","","","","","","","40144-70483:Artturi Lehkonen","40144-70483","W","Artturi","Artturi Lehkonen","Lehkonen","7.5428570338657925","14","4100","BOS@MON","MON","BOS","","","","",""
"","","","","","","","","","","","","","40144-54743:Alexander Wennberg","40144-54743","C","Alexander","Alexander Wennberg","Wennberg","6.735714503696987","14","4100","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-42772:Josh Anderson","40144-42772","W","Josh","Josh Anderson","Anderson","6.900000095367432","8","4100","VGK@CBJ","CBJ","VGK","","","","",""
"","","","","","","","","","","","","","40144-23225:Matt Dumba","40144-23225","D","Matt","Matt Dumba","Dumba","9.192856924874443","14","4000","MIN@ANH","MIN","ANH","","","","",""
"","","","","","","","","","","","","","40144-11158:T.J. Brodie","40144-11158","D","T.J.","T.J. Brodie","Brodie","7.3705884148092835","17","4000","ARI@CGY","CGY","ARI","","","","",""
"","","","","","","","","","","","","","40144-15281:Andrew Shaw","40144-15281","W","Andrew","Andrew Shaw","Shaw","5.538461538461538","13","4000","CHI@SJ","CHI","SJ","","","","",""
"","","","","","","","","","","","","","40144-58332:Sam Bennett","40144-58332","W","Sam","Sam Bennett","Bennett","6.23999989827474","15","4000","ARI@CGY","CGY","ARI","","","","",""
"","","","","","","","","","","","","","40144-66600:Blake Coleman","40144-66600","W","Blake","Blake Coleman","Coleman","7.933333079020183","12","4000","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-80992:Nolan Patrick","40144-80992","C","Nolan","Nolan Patrick","Patrick","7.3138885498046875","72","4000","CAR@PHI","PHI","CAR","O","Head","","",""
"","","","","","","","","","","","","","40144-79935:Alex Iafallo","40144-79935","W","Alex","Alex Iafallo","Iafallo","6.971428462437221","14","3900","LA@TOR","LA","TOR","","","","",""
"","","","","","","","","","","","","","40144-43120:Anthony Duclair","40144-43120","W","Anthony","Anthony Duclair","Duclair","12.038461538461538","13","3900","OTT@NYI","OTT","NYI","","","","",""
"","","","","","","","","","","","","","40144-65970:Pavel Zacha","40144-65970","W","Pavel","Pavel Zacha","Zacha","8.145454406738281","11","3900","NJ@WPG","NJ","WPG","","","","",""
"","","","","","","","","","","","","","40144-8628:Marc-Edouard Vlasic","40144-8628","D","Marc-Edouard","Marc-Edouard Vlasic","Vlasic","6","15","3900","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-70511:Denis Gurianov","40144-70511","W","Denis","Denis Gurianov","Gurianov","9.416666666666666","12","3900","COL@DAL","DAL","COL","","","","",""
"","","","","","","","","","","","","","40144-15287:Jean-Gabriel Pageau","40144-15287","C","Jean-Gabriel","Jean-Gabriel Pageau","Pageau","13.015384380634014","13","3900","OTT@NYI","OTT","NYI","","","","",""
"","","","","","","","","","","","","","40144-66515:Vince Dunn","40144-66515","D","Vince","Vince Dunn","Dunn","7.386666870117187","15","3900","STL@VAN","STL","VAN","","","","",""
"","","","","","","","","","","","","","40144-66606:Brandon Carlo","40144-66606","D","Brandon","Brandon Carlo","Carlo","7.314285823277065","14","3900","BOS@MON","BOS","MON","","","","",""
"","","","","","","","","","","","","","40144-8142:Corey Perry","40144-8142","W","Corey","Corey Perry","Perry","5.833333333333333","9","3900","COL@DAL","DAL","COL","","","","",""
"","","","","","","","","","","","","","40144-8211:Tyler Myers","40144-8211","D","Tyler","Tyler Myers","Myers","7.657142639160156","14","3800","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-59413:Jake Virtanen","40144-59413","W","Jake","Jake Virtanen","Virtanen","8.685714176722936","14","3800","STL@VAN","VAN","STL","","","","",""
"","","","","","","","","","","","","","40144-8328:Matt Niskanen","40144-8328","D","Matt","Matt Niskanen","Niskanen","8.892307574932392","13","3800","CAR@PHI","PHI","CAR","","","","",""
"","","","","","","","","","","","","","40144-74047:Jack Roslovic","40144-74047","W","Jack","Jack Roslovic","Roslovic","6.646666463216146","15","3800","NJ@WPG","WPG","NJ","","","","",""
"","","","","","","","","","","","","","40144-39295:Carl Soderberg","40144-39295","C","Carl","Carl Soderberg","Soderberg","8.907142639160156","14","3800","ARI@CGY","ARI","CGY","","","","",""
"","","","","","","","","","","","","","40144-8614:Joe Thornton","40144-8614","C","Joe","Joe Thornton","Thornton","4.3","15","3800","CHI@SJ","SJ","CHI","","","","",""
"","","","","","","","","","","","","","40144-8967:Alec Martinez","40144-8967","D","Alec","Alec Martinez","Martinez","8.035714285714286","14","3800","LA@TOR","LA","TOR","","","","",""
"","","","","","","","","","","","","","40144-37883:Cody Ceci","40144-37883","D","Cody","Cody Ceci","Ceci","7.093333435058594","15","3800","LA@TOR","TOR","LA","","","","",""
