Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,,,,
,,,,,,,,,,,Anthony Mantha,1150,1150,163
,,,,,,,,,,,Dylan Larkin,1200,1200,175
,,,,,,,,,,,Alex Chiasson,1500,1500,245
,,,,,,,,,,,Tomas Jurco,1500,1500,245
,,,,,,,,,,,Andreas Athanasiou,1500,1500,230
,,,,,,,,,,,Sam Gagner,1600,1600,260
,,,,,,,,,,,Zack Kassian,1600,1600,260
,,,,,,,,,,,Joakim Nygård,1600,1600,260
,,,,,,,,,,,Colby Cave,1800,1800,300
,,,,,,,,,,,Markus Granlund,1800,1800,300
,,,,,,,,,,,Tyler Bertuzzi,1800,1800,285
,,,,,,,,,,,Gaëtan Haas,2000,2000,330
,,,,,,,,,,,Adam Erne,2000,2000,335
,,,,,,,,,,,Evgeny Svechnikov,2000,2000,335
,,,,,,,,,,,Jujhar Khaira,2200,2200,390
,,,,,,,,,,,Darnell Nurse,2200,2200,360
,,,,,,,,,,,Riley Sheahan,2200,2200,390
,,,,,,,,,,,Justin Abdelkader,2200,2200,380
,,,,,,,,,,,Christoffer Ehn,2200,2200,380
,,,,,,,,,,,Valtteri Filppula,2200,2200,360
,,,,,,,,,,,Darren Helm,2200,2200,360
,,,,,,,,,,,Taro Hirose,2200,2200,360
,,,,,,,,,,,Ryan Kuffner,2200,2200,360
,,,,,,,,,,,Michael Rasmussen,2400,2400,410
,,,,,,,,,,,Oscar Klefbom,2500,2500,430
,,,,,,,,,,,Joel Persson,2500,2500,430
,,,,,,,,,,,Mike Green,2500,2500,440
,,,,,,,,,,,Jacob De La Rose,2800,2800,480
,,,,,,,,,,,William Lagesson,3000,3000,540
,,,,,,,,,,,Luke Glendening,3000,3000,525
,,,,,,,,,,,Filip Hronek,3000,3000,525
,,,,,,,,,,,Matthew Benning,3400,3400,600
,,,,,,,,,,,Oliwer Kaski,3500,3500,650
,,,,,,,,,,,Kris Russell,4000,4000,700
,,,,,,,,,,,Danny Dekeyser,4500,4500,800
,,,,,,,,,,,Madison Bowey,5000,5000,900
,,,,,,,,,,,Dennis Cholowski,5000,5000,900
,,,,,,,,,,,Patrik Nemeth,7500,7500,1300
,,,,,,,,,,,Sebastian Aho,1000,1000,170
,,,,,,,,,,,Rickard Rakell,1150,1150,195
,,,,,,,,,,,Ondrej Kase,1300,1300,220
,,,,,,,,,,,Jakob Silfverberg,1300,1300,220
,,,,,,,,,,,Nino Niederreiter,1300,1300,235
,,,,,,,,,,,Teuvo Teravainen,1300,1300,225
,,,,,,,,,,,Andrei Svechnikov,1400,1400,250
,,,,,,,,,,,Nick Ritchie,1500,1500,270
,,,,,,,,,,,Troy Terry,1500,1500,270
,,,,,,,,,,,Ryan Dzingel,1500,1500,275
,,,,,,,,,,,Dougie Hamilton,1500,1500,275
,,,,,,,,,,,Jordan Staal,1500,1500,275
,,,,,,,,,,,Erik Haula,1600,1600,295
,,,,,,,,,,,Ryan Getzlaf,1700,1700,320
,,,,,,,,,,,Adam Henrique,1700,1700,320
,,,,,,,,,,,Sam Steel,1700,1700,320
,,,,,,,,,,,Warren Foegele,1700,1700,310
,,,,,,,,,,,Martin Necas,1800,1800,335
,,,,,,,,,,,Max Comtois,1900,1900,360
,,,,,,,,,,,Lucas Wallmark,1900,1900,360
,,,,,,,,,,,Devin Shore,2000,2000,390
,,,,,,,,,,,Julien Gauthier,2000,2000,380
,,,,,,,,,,,Brock McGinn,2200,2200,410
,,,,,,,,,,,Max Jones,2400,2400,450
,,,,,,,,,,,Derek Grant,2500,2500,480
,,,,,,,,,,,Carter Rowney,2500,2500,480
,,,,,,,,,,,Kiefer Sherwood,2800,2800,525
,,,,,,,,,,,Cam Fowler,3000,3000,575
,,,,,,,,,,,Hampus Lindholm,3000,3000,575
,,,,,,,,,,,Michael Del Zotto,3300,3300,650
,,,,,,,,,,,Josh Manson,3300,3300,650
,,,,,,,,,,,Jake Gardiner,3300,3300,650
,,,,,,,,,,,Josh Mahura,4000,4000,800
,,,,,,,,,,,Haydn Fleury,4000,4000,750
,,,,,,,,,,,Brett Pesce,4000,4000,750
,,,,,,,,,,,Jaccob Slavin,4000,4000,750
,,,,,,,,,,,Joel Edmundson,4500,4500,850
,,,,,,,,,,,Brendan Guhle,5500,5500,1050
,,,,,,,,,,,Jani Hakanpää,5500,5500,1050
,,,,,,,,,,,Jacob Larsson,5500,5500,1050
,,,,,,,,,,,Korbinian Holzer,6600,6600,1300
,,,,,,,,,,,Taylor Hall,900,900,133
,,,,,,,,,,,Kyle Palmieri,1000,1000,150
,,,,,,,,,,,Elias Pettersson,1000,1000,155
,,,,,,,,,,,Brock Boeser,1100,1100,175
,,,,,,,,,,,Bo Horvat,1200,1200,195
,,,,,,,,,,,Nico Hischier,1300,1300,220
,,,,,,,,,,,Nikita Gusev,1500,1500,260
,,,,,,,,,,,Blake Coleman,1600,1600,275
,,,,,,,,,,,Wayne Simmonds,1600,1600,275
,,,,,,,,,,,Jack Hughes,1700,1700,295
,,,,,,,,,,,Travis Zajac,1700,1700,295
,,,,,,,,,,,Michael Ferland,1700,1700,310
,,,,,,,,,,,J.T Miller,1700,1700,290
,,,,,,,,,,,Jesper Bratt,1800,1800,310
,,,,,,,,,,,Tanner Pearson,1800,1800,325
,,,,,,,,,,,P. K. Subban,1900,1900,335
,,,,,,,,,,,Miles Wood,1900,1900,335
,,,,,,,,,,,John Hayden,2000,2000,360
,,,,,,,,,,,Pavel Zacha,2000,2000,360
,,,,,,,,,,,Jake Virtanen,2000,2000,370
,,,,,,,,,,,Loui Eriksson,2200,2200,400
,,,,,,,,,,,Adam Gaudette,2200,2200,400
,,,,,,,,,,,Kevin Rooney,2400,2400,420
,,,,,,,,,,,Brandon Sutter,2400,2400,430
,,,,,,,,,,,Will Butcher,2800,2800,500
,,,,,,,,,,,Damon Severson,2800,2800,500
,,,,,,,,,,,Jay Beagle,2800,2800,500
,,,,,,,,,,,Josh Leivo,2800,2800,500
,,,,,,,,,,,Tyler Motte,2800,2800,500
,,,,,,,,,,,Tim Schaller,2800,2800,500
,,,,,,,,,,,Sami Vatanen,3000,3000,550
,,,,,,,,,,,Connor Carrick,3300,3300,600
,,,,,,,,,,,Alexander Edler,3300,3300,600
,,,,,,,,,,,Quinn Hughes,3300,3300,600
,,,,,,,,,,,Tyler Myers,3300,3300,600
,,,,,,,,,,,Andy Greene,4500,4500,800
,,,,,,,,,,,Mirco Müller,4500,4500,800
,,,,,,,,,,,Jordie Benn,4500,4500,900
,,,,,,,,,,,Troy Stecher,5500,5500,1050
,,,,,,,,,,,Oscar Fantenberg,6600,6600,1300
,,,,,,,,,,,Chris Tanev,6600,6600,1300
,,,,,,,,,,,Vladimir Tarasenko,850,850,132
,,,,,,,,,,,Brayden Schenn,1000,1000,163
,,,,,,,,,,,Ryan O'Reilly,1100,1100,188
,,,,,,,,,,,Brendan Gallagher,1200,1200,205
,,,,,,,,,,,David Perron,1300,1300,230
,,,,,,,,,,,Jaden Schwartz,1400,1400,245
,,,,,,,,,,,Max Domi,1400,1400,245
,,,,,,,,,,,Sammy Blais,1500,1500,275
,,,,,,,,,,,Zachary Sanford,1700,1700,310
,,,,,,,,,,,Oskar Sundqvist,1700,1700,310
,,,,,,,,,,,Tomas Tatar,1700,1700,295
,,,,,,,,,,,Shea Weber,1700,1700,310
,,,,,,,,,,,Tyler Bozak,1800,1800,335
,,,,,,,,,,,Alexander Steen,1800,1800,335
,,,,,,,,,,,Robert Thomas,1800,1800,335
,,,,,,,,,,,Jonathan Drouin,1800,1800,330
,,,,,,,,,,,Robby Fabbri,1900,1900,360
,,,,,,,,,,,Paul Byron,1900,1900,350
,,,,,,,,,,,Ivan Barbashyov,2000,2000,390
,,,,,,,,,,,Vince Dunn,2000,2000,390
,,,,,,,,,,,Colton Parayko,2000,2000,390
,,,,,,,,,,,Alex Pietrangelo,2000,2000,390
,,,,,,,,,,,Artturi Lehkonen,2000,2000,375
,,,,,,,,,,,Nick Suzuki,2000,2000,375
,,,,,,,,,,,Joel Armia,2200,2200,400
,,,,,,,,,,,Phillip Danault,2200,2200,400
,,,,,,,,,,,Jesperi Kotkaniemi,2200,2200,400
,,,,,,,,,,,Justin Faulk,2400,2400,460
,,,,,,,,,,,Nick Cousins,2500,2500,500
,,,,,,,,,,,Jeff Petry,2500,2500,460
,,,,,,,,,,,Nate Thompson,2500,2500,500
,,,,,,,,,,,Jordan Weal,2900,2900,540
,,,,,,,,,,,Victor Mete,3000,3000,600
,,,,,,,,,,,Mike Reilly,3000,3000,600
,,,,,,,,,,,Jay Bouwmeester,4000,4000,800
,,,,,,,,,,,Carl Gunnarsson,4000,4000,800
,,,,,,,,,,,Robert Bortuzzo,5000,5000,950
,,,,,,,,,,,Brett Kulak,5000,5000,950
,,,,,,,,,,,Ben Chiarot,6000,6000,1100
,,,,,,,,,,,Christian Folin,6000,6000,1100
,,,,,,,,,,,Sidney Crosby,1050,1050,155
,,,,,,,,,,,Jake Guentzel,1050,1050,155
,,,,,,,,,,,Mark Stone,1050,1050,160
,,,,,,,,,,,Max Pacioretty,1100,1100,165
,,,,,,,,,,,Jonathan Marchessault,1200,1200,180
,,,,,,,,,,,William Karlsson,1300,1300,200
,,,,,,,,,,,Patric Hörnqvist,1500,1500,235
,,,,,,,,,,,Reilly Smith,1500,1500,235
,,,,,,,,,,,Alex Galchenyuk,1600,1600,250
,,,,,,,,,,,Brandon Pirri,1600,1600,265
,,,,,,,,,,,Paul Stastny,1700,1700,285
,,,,,,,,,,,Dominik Kahun,1800,1800,300
,,,,,,,,,,,Sam Lafferty,1800,1800,300
,,,,,,,,,,,Jared McCann,1800,1800,300
,,,,,,,,,,,Brandon Tanev,1800,1800,300
,,,,,,,,,,,Cody Eakin,1800,1800,300
,,,,,,,,,,,Cody Glass,1800,1800,300
,,,,,,,,,,,Andrew Agozzino,1900,1900,320
,,,,,,,,,,,Bryan Rust,1900,1900,320
,,,,,,,,,,,Kris Letang,2000,2000,340
,,,,,,,,,,,Dominik Simon,2000,2000,340
,,,,,,,,,,,Zachary Aston-Reese,2200,2200,370
,,,,,,,,,,,Joseph Blandisi,2200,2200,370
,,,,,,,,,,,Teddy Blueger,2200,2200,370
,,,,,,,,,,,Adam Johnson,2200,2200,370
,,,,,,,,,,,Ryan Reaves,2400,2400,410
,,,,,,,,,,,Justin Schultz,2500,2500,430
,,,,,,,,,,,William Carrier,2500,2500,450
,,,,,,,,,,,Tomas Nosek,2500,2500,450
,,,,,,,,,,,Shea Théodore,2800,2800,480
,,,,,,,,,,,Marcus Pettersson,3500,3500,650
,,,,,,,,,,,Nick Holden,4000,4000,700
,,,,,,,,,,,Nate Schmidt,4000,4000,700
,,,,,,,,,,,Jimmy Schuldt,4000,4000,700
,,,,,,,,,,,Erik Gudbranson,4500,4500,850
,,,,,,,,,,,Jack Johnson,4500,4500,850
,,,,,,,,,,,John Marino,4500,4500,850
,,,,,,,,,,,Juuso Riikola,4500,4500,850
,,,,,,,,,,,Deryk Engelland,5000,5000,950
,,,,,,,,,,,Brayden McNabb,5000,5000,950
,,,,,,,,,,,Jon Merrill,6000,6000,1150
,,,,,,,,,,,Brian Dumoulin,6600,6600,1200
,,,,,,,,,,,Nikita Kucherov,950,950,128
,,,,,,,,,,,Steven Stamkos,950,950,128
,,,,,,,,,,,Brayden Point,1000,1000,140
,,,,,,,,,,,Nathan MacKinnon,1000,1000,138
,,,,,,,,,,,Mikko Rantanen,1100,1100,155
,,,,,,,,,,,Gabriel Landeskog,1200,1200,180
,,,,,,,,,,,Tyler Johnson,1400,1400,230
,,,,,,,,,,,Alex Killorn,1500,1500,240
,,,,,,,,,,,Nazem Kadri,1500,1500,230
,,,,,,,,,,,Anthony Cirelli,1600,1600,260
,,,,,,,,,,,Patrick Maroon,1600,1600,260
,,,,,,,,,,,Ondrej Palát,1600,1600,260
,,,,,,,,,,,Yanni Gourde,1700,1700,275
,,,,,,,,,,,Mathieu Joseph,1700,1700,275
,,,,,,,,,,,Victor Hedman,1900,1900,320
,,,,,,,,,,,Andre Burakovsky,1900,1900,320
,,,,,,,,,,,Mikhail Sergachev,2000,2000,340
,,,,,,,,,,,Joonas Donskoi,2000,2000,340
,,,,,,,,,,,Luke Witkowski,2200,2200,375
,,,,,,,,,,,JT Compher,2200,2200,360
,,,,,,,,,,,Tyson Jost,2200,2200,360
,,,,,,,,,,,Ryan McDonagh,2500,2500,450
,,,,,,,,,,,Cedric Paquette,2500,2500,450
,,,,,,,,,,,Kevin Shattenkirk,2500,2500,450
,,,,,,,,,,,Vladislav Kamenev,2500,2500,420
,,,,,,,,,,,Colin Wilson,2500,2500,420
,,,,,,,,,,,Matt Calvert,2900,2900,500
,,,,,,,,,,,Cale Makar,2900,2900,500
,,,,,,,,,,,Matt Nieto,2900,2900,500
,,,,,,,,,,,Valeri Nichushkin,3000,3000,540
,,,,,,,,,,,Pierre-Edouard Bellemare,3500,3500,600
,,,,,,,,,,,Samuel Girard,3500,3500,600
,,,,,,,,,,,Ryan Graves,3500,3500,600
,,,,,,,,,,,Erik Cernak,4000,4000,750
,,,,,,,,,,,Jan Rutta,4000,4000,750
,,,,,,,,,,,Erik Johnson,4000,4000,650
,,,,,,,,,,,Nikita Zadorov,4500,4500,750
,,,,,,,,,,,Braydon Coburn,5000,5000,850
,,,,,,,,,,,Conor Timmins,5000,5000,850
,,,,,,,,,,,Kevin Connauton,6000,6000,1000
,,,,,,,,,,,Auston Matthews,800,800,102
,,,,,,,,,,,David Pastrnak,1000,1000,138
,,,,,,,,,,,Patrice Bergeron,1050,1050,150
,,,,,,,,,,,Brad Marchand,1150,1150,170
,,,,,,,,,,,Mitch Marner,1300,1300,200
,,,,,,,,,,,Jake DeBrusk,1400,1400,220
,,,,,,,,,,,Alexander Kerfoot,1600,1600,260
,,,,,,,,,,,William Nylander,1600,1600,260
,,,,,,,,,,,Andreas Johnsson,1700,1700,280
,,,,,,,,,,,Kasperi Kapanen,1700,1700,280
,,,,,,,,,,,Ilya Mikheyev,1700,1700,280
,,,,,,,,,,,Morgan Rielly,1800,1800,300
,,,,,,,,,,,Charlie Coyle,1900,1900,325
,,,,,,,,,,,David Krejci,1900,1900,325
,,,,,,,,,,,Sean Kuraly,1900,1900,325
,,,,,,,,,,,Trevor Moore,2000,2000,340
,,,,,,,,,,,Jason Spezza,2000,2000,340
,,,,,,,,,,,Dmytro Timashov,2000,2000,340
,,,,,,,,,,,Karson Kuhlman,2000,2000,350
,,,,,,,,,,,Tyson Barrie,2200,2200,370
,,,,,,,,,,,Danton Heinen,2200,2200,375
,,,,,,,,,,,Kenny Agostino,2400,2400,400
,,,,,,,,,,,Frédérik Gauthier,2400,2400,400
,,,,,,,,,,,Nick Shore,2400,2400,400
,,,,,,,,,,,David Backes,2400,2400,400
,,,,,,,,,,,Nicolas Petan,2500,2500,440
,,,,,,,,,,,Torey Krug,2500,2500,440
,,,,,,,,,,,Pär Lindholm,2500,2500,440
,,,,,,,,,,,Joakim Nordström,2500,2500,440
,,,,,,,,,,,Brett Ritchie,2500,2500,440
,,,,,,,,,,,Chris Wagner,2500,2500,440
,,,,,,,,,,,Charlie McAvoy,2800,2800,475
,,,,,,,,,,,Zdeno Chára,3300,3300,575
,,,,,,,,,,,Matt Grzelcyk,3300,3300,575
,,,,,,,,,,,Cody Ceci,4000,4000,700
,,,,,,,,,,,Timothy Liljegren,4000,4000,700
,,,,,,,,,,,Connor Clifton,4000,4000,750
,,,,,,,,,,,Kevin Gravel,4500,4500,800
,,,,,,,,,,,Martin Marincin,4500,4500,800
,,,,,,,,,,,Jake Muzzin,4500,4500,800
,,,,,,,,,,,Ben Harpur,5000,5000,900
,,,,,,,,,,,Justin Holl,5000,5000,900
,,,,,,,,,,,Brandon Carlo,5500,5500,1000
,,,,,,,,,,,Cam Atkinson,900,900,140
,,,,,,,,,,,Anders Lee,1100,1100,188
,,,,,,,,,,,Jordan Eberle,1300,1300,225
,,,,,,,,,,,Brock Nelson,1300,1300,225
,,,,,,,,,,,Pierre-Luc Dubois,1400,1400,250
,,,,,,,,,,,Mathew Barzal,1400,1400,255
,,,,,,,,,,,Josh Anderson,1500,1500,265
,,,,,,,,,,,Gustav Nyquist,1500,1500,265
,,,,,,,,,,,Alexandre Texier,1500,1500,280
,,,,,,,,,,,Oliver Björkstrand,1600,1600,295
,,,,,,,,,,,Nick Foligno,1600,1600,295
,,,,,,,,,,,Michael Dal Colle,1600,1600,300
,,,,,,,,,,,Anthony Beauvillier,1700,1700,320
,,,,,,,,,,,Boone Jenner,1800,1800,335
,,,,,,,,,,,Emil Bemström,1900,1900,360
,,,,,,,,,,,Josh Bailey,1900,1900,360
,,,,,,,,,,,Derick Brassard,1900,1900,360
,,,,,,,,,,,Seth Jones,2000,2000,390
,,,,,,,,,,,Jakob Lilja,2200,2200,420
,,,,,,,,,,,Alexander Wennberg,2200,2200,420
,,,,,,,,,,,Zach Werenski,2200,2200,420
,,,,,,,,,,,Marko Daňo,2400,2400,450
,,,,,,,,,,,Riley Nash,2400,2400,450
,,,,,,,,,,,Cal Clutterbuck,2500,2500,480
,,,,,,,,,,,Ross Johnston,2500,2500,480
,,,,,,,,,,,Tom Kühnhackl,2500,2500,480
,,,,,,,,,,,Ryan Pulock,2500,2500,480
,,,,,,,,,,,Leo Komarov,2800,2800,525
,,,,,,,,,,,Matt Martin,2800,2800,525
,,,,,,,,,,,Johnny Boychuk,2900,2900,575
,,,,,,,,,,,Noah Dobson,3300,3300,650
,,,,,,,,,,,Nick Leddy,3300,3300,650
,,,,,,,,,,,Ryan Murray,3400,3400,650
,,,,,,,,,,,Markus Nutivaara,3400,3400,650
,,,,,,,,,,,Devon Toews,3500,3500,700
,,,,,,,,,,,David Savard,4000,4000,750
,,,,,,,,,,,Thomas Hickey,4000,4000,800
,,,,,,,,,,,Vladislav Gavrikov,4500,4500,850
,,,,,,,,,,,Dean Kukan,4500,4500,850
,,,,,,,,,,,Scott Mayfield,4500,4500,900
,,,,,,,,,,,Adam Pelech,4500,4500,900
,,,,,,,,,,,Scott Harrington,6000,6000,1200
,,,,,,,,,,,Sean Couturier,1050,1050,175
,,,,,,,,,,,Claude Giroux,1050,1050,180
,,,,,,,,,,,Tyler Seguin,1050,1050,170
,,,,,,,,,,,Joe Pavelski,1150,1150,195
,,,,,,,,,,,James van Riemsdyk,1200,1200,220
,,,,,,,,,,,Jamie Benn,1200,1200,210
,,,,,,,,,,,Alexander Radulov,1200,1200,210
,,,,,,,,,,,Travis Konecny,1300,1300,230
,,,,,,,,,,,Jakub Voracek,1400,1400,255
,,,,,,,,,,,Kevin Hayes,1500,1500,270
,,,,,,,,,,,Corey Perry,1600,1600,295
,,,,,,,,,,,Roope Hintz,1700,1700,310
,,,,,,,,,,,Oskar Lindblom,1800,1800,325
,,,,,,,,,,,Joel Farabee,2000,2000,375
,,,,,,,,,,,Radek Faksa,2000,2000,400
,,,,,,,,,,,Connor Bunnaman,2200,2200,440
,,,,,,,,,,,Shayne Gostisbehere,2200,2200,440
,,,,,,,,,,,Scott Laughton,2200,2200,400
,,,,,,,,,,,Michael Raffl,2200,2200,400
,,,,,,,,,,,Chris Stewart,2200,2200,440
,,,,,,,,,,,Carsen Twarynski,2200,2200,440
,,,,,,,,,,,Nicholas Caamano,2200,2200,425
,,,,,,,,,,,Rhett Gardner,2200,2200,425
,,,,,,,,,,,Denis Guryanov,2200,2200,425
,,,,,,,,,,,Joel L'Esperance,2200,2200,425
,,,,,,,,,,,Justin Dowling,2400,2400,460
,,,,,,,,,,,Miro Heiskanen,2400,2400,460
,,,,,,,,,,,John Klingberg,2400,2400,460
,,,,,,,,,,,Ivan Provorov,2500,2500,480
,,,,,,,,,,,Mattias Janmark-Nylén,2500,2500,500
,,,,,,,,,,,Matt Niskanen,2800,2800,525
,,,,,,,,,,,Andrew Cogliano,2800,2800,540
,,,,,,,,,,,Esa Lindell,3000,3000,600
,,,,,,,,,,,Robert Hägg,3300,3300,650
,,,,,,,,,,,Samuel Morin,3300,3300,650
,,,,,,,,,,,Philippe Myers,3300,3300,650
,,,,,,,,,,,Travis Sanheim,3300,3300,650
,,,,,,,,,,,Justin Braun,4000,4000,850
,,,,,,,,,,,Joel Hanley,5000,5000,950
,,,,,,,,,,,Andrej Sekera,5000,5000,950
,,,,,,,,,,,Taylor Fedun,5500,5500,1100
,,,,,,,,,,,Jamie Oleksiak,5500,5500,1100
,,,,,,,,,,,Viktor Arvidsson,850,850,125
,,,,,,,,,,,Filip Forsberg,850,850,125
,,,,,,,,,,,Matt Duchene,1050,1050,163
,,,,,,,,,,,Mike Hoffman,1100,1100,175
,,,,,,,,,,,Aleksander Barkov,1200,1200,195
,,,,,,,,,,,Evgeny Dadonov,1400,1400,235
,,,,,,,,,,,Jonathan Huberdeau,1400,1400,225
,,,,,,,,,,,Kyle Turris,1500,1500,265
,,,,,,,,,,,Mikael Granlund,1600,1600,280
,,,,,,,,,,,Ryan Johansen,1600,1600,280
,,,,,,,,,,,Craig Smith,1600,1600,280
,,,,,,,,,,,Vincent Trocheck,1700,1700,295
,,,,,,,,,,,Frank Vatrano,1800,1800,310
,,,,,,,,,,,Brett Connolly,1900,1900,330
,,,,,,,,,,,Nick Bonino,2000,2000,340
,,,,,,,,,,,Daniel Carr,2000,2000,370
,,,,,,,,,,,Roman Josi,2000,2000,340
,,,,,,,,,,,Calle Järnkrok,2000,2000,370
,,,,,,,,,,,Colton Sissons,2000,2000,340
,,,,,,,,,,,Denis Malgin,2000,2000,350
,,,,,,,,,,,Rocco Grimaldi,2200,2200,400
,,,,,,,,,,,Austin Watson,2200,2200,400
,,,,,,,,,,,Henrik Borgstrom,2200,2200,375
,,,,,,,,,,,Aaron Ekblad,2200,2200,400
,,,,,,,,,,,Noel Acciari ,2400,2400,430
,,,,,,,,,,,Jayce Hawryluk,2500,2500,475
,,,,,,,,,,,Dryden Hunt,2500,2500,475
,,,,,,,,,,,Colton Sceviour,2500,2500,475
,,,,,,,,,,,Keith Yandle,2500,2500,475
,,,,,,,,,,,Mattias Ekholm,3300,3300,600
,,,,,,,,,,,Ryan Ellis,3300,3300,600
,,,,,,,,,,,Dante Fabbro,3300,3300,600
,,,,,,,,,,,Matt Irwin,4000,4000,800
,,,,,,,,,,,Michael Matheson,4000,4000,800
,,,,,,,,,,,Anton Strålman,4000,4000,800
,,,,,,,,,,,MacKenzie Weegar,4000,4000,800
,,,,,,,,,,,Steven Santini,5000,5000,900
,,,,,,,,,,,Yannick Weber,5000,5000,900
,,,,,,,,,,,Mark Pysyk,5500,5500,1050
,,,,,,,,,,,Dan Hamhuis,6000,6000,1100
,,,,,,,,,,,Sean Monahan,950,950,148
,,,,,,,,,,,Johnny Gaudreau,1050,1050,170
,,,,,,,,,,,Matthew Tkachuk,1100,1100,180
,,,,,,,,,,,Dustin Brown,1300,1300,225
,,,,,,,,,,,Jeff Carter,1300,1300,225
,,,,,,,,,,,Anze Kopitar,1300,1300,225
,,,,,,,,,,,Elias Lindholm,1300,1300,215
,,,,,,,,,,,Tyler Toffoli,1500,1500,260
,,,,,,,,,,,Mikael Backlund,1500,1500,275
,,,,,,,,,,,Ilya Kovalchuk,1600,1600,290
,,,,,,,,,,,Alex Iafallo,1800,1800,325
,,,,,,,,,,,Sam Bennett,1800,1800,330
,,,,,,,,,,,Michael Frolík,1800,1800,330
,,,,,,,,,,,Mark Giordano,1800,1800,330
,,,,,,,,,,,Drew Doughty,1900,1900,340
,,,,,,,,,,,Carl Grundström,1900,1900,340
,,,,,,,,,,,Tobias Rieder,1900,1900,360
,,,,,,,,,,,Milan Lucic,2000,2000,380
,,,,,,,,,,,Derek Ryan,2000,2000,380
,,,,,,,,,,,Adrian Kempe,2200,2200,420
,,,,,,,,,,,Trevor Lewis,2200,2200,420
,,,,,,,,,,,Nikolai Prokhorkin,2200,2200,420
,,,,,,,,,,,Mark Jankowski,2200,2200,420
,,,,,,,,,,,Andrew Mangiapane,2200,2200,420
,,,,,,,,,,,Mario Kempe,2400,2400,450
,,,,,,,,,,,Austin Wagner,2400,2400,450
,,,,,,,,,,,Austin Czarnik,2400,2400,450
,,,,,,,,,,,Michael Amadio,2500,2500,480
,,,,,,,,,,,Kyle Clifford,2500,2500,480
,,,,,,,,,,,Thomas James Brodie,2900,2900,550
,,,,,,,,,,,Noah Hanifin,3300,3300,600
,,,,,,,,,,,Rasmus Andersson,3500,3500,700
,,,,,,,,,,,Oliver Kylington,3500,3500,700
,,,,,,,,,,,Paul LaDue,4000,4000,700
,,,,,,,,,,,Alec Martinez,4000,4000,700
,,,,,,,,,,,Sean Walker,4000,4000,800
,,,,,,,,,,,Travis Hamonic,4000,4000,800
,,,,,,,,,,,Tobias Björnfot,5000,5000,900
,,,,,,,,,,,Ben Hutton,5000,5000,900
,,,,,,,,,,,Joakim Ryan,5000,5000,900
,,,,,,,,,,,Michael Stone,5000,5000,950
,,,,,,,,,,,Derek Forbort,7000,7000,1300
,,,,,,,,,,,Logan Couture,1000,1000,148
,,,,,,,,,,,Tomas Hertl,1050,1050,155
,,,,,,,,,,,Timo Meier,1050,1050,155
,,,,,,,,,,,Jack Eichel,1100,1100,170
,,,,,,,,,,,Jeff Skinner,1100,1100,160
,,,,,,,,,,,Evander Kane,1150,1150,180
,,,,,,,,,,,Victor Olofsson,1150,1150,175
,,,,,,,,,,,Patrick Marleau,1500,1500,250
,,,,,,,,,,,Brent Burns,1600,1600,270
,,,,,,,,,,,Kevin Labanc,1600,1600,270
,,,,,,,,,,,Lukas Radil,1700,1700,285
,,,,,,,,,,,Marcus Sörensen,1700,1700,285
,,,,,,,,,,,Danil Yurtaikin,1700,1700,285
,,,,,,,,,,,Jonny Brodzinski,1800,1800,310
,,,,,,,,,,,Marcus Johansson,1800,1800,295
,,,,,,,,,,,Sam Reinhart,1800,1800,310
,,,,,,,,,,,Dylan Gambrell,1900,1900,330
,,,,,,,,,,,Kyle Okposo,1900,1900,335
,,,,,,,,,,,Lean Bergmann,2000,2000,360
,,,,,,,,,,,Joe Thornton,2000,2000,360
,,,,,,,,,,,Jimmy Vesey,2000,2000,350
,,,,,,,,,,,Erik Karlsson,2200,2200,390
,,,,,,,,,,,Melker Karlsson,2200,2200,390
,,,,,,,,,,,Casey Mittelstadt,2200,2200,380
,,,,,,,,,,,Evan Rodrigues,2200,2200,380
,,,,,,,,,,,Barclay Goodrow,2500,2500,460
,,,,,,,,,,,Vladimir Sobotka,2800,2800,475
,,,,,,,,,,,Rasmus Dahlin,2900,2900,510
,,,,,,,,,,,Zemgus Girgensons,2900,2900,510
,,,,,,,,,,,Johan Larsson,2900,2900,510
,,,,,,,,,,,Rasmus Ristolainen,2900,2900,510
,,,,,,,,,,,Marc-Edouard Vlasic,3300,3300,575
,,,,,,,,,,,Colin Miller,3500,3500,600
,,,,,,,,,,,Tim Heed,4000,4000,750
,,,,,,,,,,,Jacob Middleton,4000,4000,750
,,,,,,,,,,,Radim Simek,4000,4000,750
,,,,,,,,,,,Henri Jokiharju,4000,4000,700
,,,,,,,,,,,Jake McCabe,4500,4500,800
,,,,,,,,,,,Brenden Dillon,5000,5000,900
,,,,,,,,,,,Mario Ferraro,5000,5000,900
,,,,,,,,,,,Marco Scandella,5000,5000,900
